movie_id,budget,original_language,popularity,release_date,runtime,runtime_cat,revenue,sw_lang_en,sw_web_presence,sw_has_poster,sw_tagline,keyword_cnt,release_year,release_month,high_release_month,release_day,seasonality,sw_collection,producers_cnt,countries_cnt,lang_US,lang_FR,lang_RU,lang_ES,lang_JA,keywords_cnt,actor0_movies_cnt,actor0_movies_5y_cnt,actor1_movies_cnt,actor1_movies_5y_cnt,actor2_movies_cnt,actor2_movies_5y_cnt,sw_female_actor0,sw_female_actor1,sw_female_actor2,sw_male_actor0,sw_male_actor1,sw_male_actor2,actor0_prev_revenue,actor1_prev_revenue,actor2_prev_revenue,director_movies_cnt,director_movies_5y_cnt,genre_adventure,genre_fantasy,genre_animation,genre_drama,genre_horror,genre_action,genre_comedy,genre_history,genre_western,genre_thriller,genre_crime,genre_documentary,genre_science_fiction,genre_mystery,genre_music,genre_romance,genre_family,genre_war,genre_foreign,depart_Art,depart_Camera,depart_Crew,depart_Custom_Mkup,depart_Directing,depart_Editing,depart_Lighting,depart_Production,depart_Sound,depart_Visual_Effects,depart_Writing,depart_Art_female,depart_Camera_female,depart_Crew_female,depart_Custom_Mkup_female,depart_Directing_female,depart_Editing_female,depart_Lighting_female,depart_Production_female,depart_Sound_female,depart_Visual_Effects_female,depart_Writing_female,overview
1,14000000,en,6.575393,2015-02-20,93,Short,12314651,1,0,1,1,4,2015,2,0,20,-15309317,0,3,1,1,0,0,0,0,4,18,11,13,4,8,6,0,0,0,1,1,1,116980662,219076518,121463226,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,13,4,2,4,9,10,4,2,0,0,0,0,0,0,0,0,0,0,0,"When Lou, who has become the ""father of the Internet,"" is shot by an unknown assailant, Jacob and Nick fire up the time machine again to save their friend."
2,40000000,en,8.248895,2004-08-06,113,Medium,95149435,1,0,1,1,4,2004,8,1,6,-33273015,0,1,1,1,0,0,0,0,4,3,3,10,2,13,4,1,1,0,0,0,1,165335153,165335153,309457509,9,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,4,1,0,1,0,0,0,0,0,0,0,3,0,0,1,"Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected..."
3,3300000,en,64.29999,2014-10-10,105,Medium,13092000,1,1,1,1,12,2014,10,1,10,-28659422,0,3,1,1,0,0,0,0,12,7,7,34,11,0,0,0,0,1,1,1,0,48065672,231411584,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,5,3,6,1,18,9,3,1,1,0,1,0,0,0,0,2,0,0,0,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity."
4,1200000,hi,3.174936,2012-03-09,122,Large,16000000,0,1,1,0,7,2012,3,0,9,-7149862,0,,1,1,0,0,0,0,7,2,1,2,2,0,0,1,0,0,0,1,0,4100000,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Vidya Bagchi (Vidya Balan) arrives in Kolkata from London to find her missing husband Arnab Bagchi. Seven months pregnant and alone in a festive city, she begins a relentless search for her husband. With nothing to rely on except fragments from her memories about him, all clues seem to reach a dead end when everyone tries to convince Vidya that her husband does not exist. She slowly realises that nothing is what it seems. In a city soaked in lies, Vidya is determined to unravel the truth about her husband - for herself and her unborn child - even at the cost of her own life."
5,0,ko,1.14807,2009-02-05,118,Medium,3923970,0,0,1,0,0,2009,2,0,5,-15309317,0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Marine Boy is the story of a former national swimmer who finds himself in debt, and out of desperation is employed as a mule by a gangster boss, smuggling drugs by sea."
6,8000000,en,0.743274,1987-08-06,83,Short,3261638,1,0,1,0,0,1987,8,1,6,-33273015,0,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,"Pinocchio and his friends, a glow worm and a marionette, search for a magic music box. However, so are the evil Scalawag and the Emperor of the Night."
7,14000000,en,7.286477,2012-08-30,92,Short,85446075,1,1,1,1,0,2012,8,1,30,-33273015,0,2,2,1,0,0,0,0,0,8,7,0,0,1,1,0,0,1,1,0,0,97838349,,297138014,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11,11,12,4,9,4,8,8,2,4,1,0,0,1,1,0,0,3,0,0,0,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child."
8,0,en,1.949044,2004-01-15,84,Short,2586511,1,0,1,1,7,2004,1,0,15,-50746591,0,,0,1,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"A chronicle which provides a rare window into the international perception of the Iraq War, courtesy of Al Jazeera, the Arab world's most popular news outlet. Roundly criticized by Cabinet members and Pentagon officials for reporting with a pro-Iraqi bias, and strongly condemned for frequently airing civilian causalities as well as footage of American POWs, the station has revealed (and continues to show the world) everything about the Iraq War that the Bush administration did not want it to see."
9,0,en,6.902423,1996-02-16,100,Medium,34327391,1,0,1,1,4,1996,2,0,16,-15309317,0,3,1,1,0,0,0,0,4,12,7,0,0,0,0,0,0,1,1,1,0,152022101,,,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted."
10,6000000,en,4.672036,2003-04-16,91,Short,18750246,1,0,1,1,2,2003,4,0,16,-28405871,0,1,1,1,0,0,0,0,2,10,3,6,1,4,2,0,0,0,1,1,1,147845033,243240178,64256513,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,1,1,0,2,0,0,2,1,1,0,1,0,0,0,1,0,0,0,"In ""A Mighty Wind"", director Christopher Guest reunites the team from ""Best In Show"" and ""Waiting for Guffman"" to tell tell the story of 60's-era folk musicians, who inspired by the death of their former manager, get back on the stage for one concert in New York City's Town Hall."
