"year","month","SPY","TA125","Dollar"
2005,1,118.160004,658.390015,4.383
2005,2,120.629997,672.369995,4.357
2005,3,117.959999,664.640015,4.361
2005,4,115.75,676.700012,4.369
2005,5,119.480003,699.299988,4.416
2005,6,119.18,656.47998,4.574
2005,7,123.739998,696.159973,4.526
2005,8,122.580002,715.070007,4.545
2005,9,123.040001,753.590027,4.598
2005,10,120.129997,765.369995,4.636
2005,11,125.410004,790.549988,4.663
2005,12,124.510002,822.98999,4.603
2006,1,127.5,844.409973,4.658
2006,2,128.229996,823.210022,4.706
2006,3,129.830002,835.780029,4.665
2006,4,131.470001,879.919983,4.503
2006,5,127.510002,868.869995,4.518
2006,6,127.279999,793.570007,4.44
2006,7,127.849998,815.469971,4.393
2006,8,130.639999,820,4.364
2006,9,133.580002,846.090027,4.302
2006,10,137.789993,914.130005,4.288
2006,11,140.529999,936.130005,4.247
2006,12,141.619995,925.599976,4.225
2007,1,143.75,958.26001,4.26
2007,2,140.929993,970.719971,4.211
2007,3,142,994.5,4.155
2007,4,148.289993,1066.560059,4.024
2007,5,153.320007,1117.02002,4.033
2007,6,150.429993,1102.189941,4.249
2007,7,145.720001,1103.099976,4.305
2007,8,147.589996,1034.670044,4.124
2007,9,152.580002,1095.369995,4.013
2007,10,154.649994,1189.040039,3.966
2007,11,148.660004,1133.109985,3.83
2007,12,146.210007,1154.589966,3.846
2008,1,137.369995,1003.469971,3.625
2008,2,133.820007,1034.01001,3.635
2008,3,131.970001,928.059998,3.553
2008,4,138.259995,996.169983,3.429
2008,5,140.350006,1035.680054,3.233
2008,6,127.980003,987.51001,3.352
2008,7,126.830002,948.059998,3.47
2008,8,128.789993,922.419983,3.592
2008,9,115.989998,812.77002,3.421
2008,10,96.830002,645.690002,3.783
2008,11,90.089996,565.440002,3.92
2008,12,90.239998,564.090027,3.802
2009,1,82.830002,599.969971,4.065
2009,2,73.93,603.690002,4.162
2009,3,79.519997,666.140015,4.188
2009,4,87.419998,745.25,4.163
2009,5,92.529999,791.030029,3.958
2009,6,91.949997,801.26001,3.919
2009,7,98.809998,884.690002,3.79
2009,8,102.459999,883.76001,3.811
2009,9,105.589996,927.700012,3.758
2009,10,103.559998,957.330017,3.746
2009,11,109.940002,1003.549988,3.792
2009,12,111.440002,1064.97998,3.775
2010,1,107.389999,1073.26001,3.724
2010,2,110.739998,1092.310059,3.796
2010,3,117,1155.420044,3.713
2010,4,118.809998,1097.680054,3.716
2010,5,109.370003,1026.660034,3.829
2010,6,103.220001,990.340027,3.875
2010,7,110.269997,1029.170044,3.779
2010,8,105.309998,1046.420044,3.817
2010,9,114.129997,1128.869995,3.665
2010,10,118.489998,1171.160034,3.636
2010,11,118.489998,1149.670044,3.683
2010,12,125.75,1224,3.549
2011,1,128.679993,1203.75,3.71
2011,2,133.149994,1189.959961,3.622
2011,3,132.589996,1207.609985,3.481
2011,4,136.429993,1195.329956,3.395
2011,5,134.899994,1152.219971,3.437
2011,6,131.970001,1113.380005,3.415
2011,7,129.330002,1117.650024,3.43
2011,8,122.220001,1013.469971,3.558
2011,9,113.150002,969.77002,3.712
2011,10,125.5,1021.469971,3.604
2011,11,124.989998,984.320007,3.793
2011,12,125.5,978.48999,3.821
2012,1,131.320007,1013.700012,3.733
2012,2,137.020004,990.059998,3.766
2012,3,140.809998,1032.47998,3.715
2012,4,139.869995,1066.48999,3.75
2012,5,131.470001,981.280029,3.881
2012,6,136.100006,969.859985,3.923
2012,7,137.710007,996.719971,3.997
2012,8,141.160004,999.590027,4.028
2012,9,143.970001,1054.579956,3.912
2012,10,141.350006,1076.410034,3.878
2012,11,142.149994,1089.609985,3.81
2012,12,142.410004,1049.060059,3.733
2013,1,149.699997,1046.719971,3.728
2013,2,151.610001,1090.670044,3.708
2013,3,156.669998,1100.040039,3.648
2013,4,159.679993,1082.949951,3.594
2013,5,163.449997,1107.900024,3.683
2013,6,160.419998,1069.560059,3.618
2013,7,168.710007,1094.060059,3.566
2013,8,163.649994,1081.680054,3.614
